"TDO2","IDO1","IDO2","AFMID","GOT2","AADAT","KYNU","KMO","QPRT","HAAO","ACMSD","Clase"
8.843,8.124,3.832,10.51,11.55,8.111,8.918,8.403,10.26,8.712,1.867,"TCGA_LGG"
8.153,4.935,1.159,7.836,11.15,8.53,7.339,7.628,8.781,6.838,8.691,"TCGA_LGG"
7.233,4.023,0,8.489,11.32,8.378,5.667,2.183,9.966,6.442,1.77,"TCGA_LGG"
7.022,2.396,0.6162,8.197,12.29,7.918,6.998,9.401,10.59,6.188,7.329,"TCGA_LGG"
6.956,0,0,10.56,11.17,8.744,6.12,2.319,9.691,7.697,0,"TCGA_LGG"
6.826,0,1.152,9.074,12.56,9.279,5.235,4.095,7.414,5.212,2.223,"TCGA_LGG"
6.813,1.259,2.164,10.03,11.37,8.938,7.256,2.319,8.967,6.156,2.716,"TCGA_LGG"
6.606,0,0,10.06,11.56,8.626,4.022,2.822,7.667,4.678,1.791,"TCGA_LGG"
6.501,0.7472,0.7472,9.16,11.65,10.23,5.009,4.052,7.344,5.924,1.893,"TCGA_LGG"
6.397,6.636,0.6852,8.163,11.38,8.718,6.232,6.046,8.123,6.755,0.6852,"TCGA_LGG"
6.348,1.248,1.615,8.983,11.49,9.206,3.586,3.359,8.794,6.634,2.701,"TCGA_LGG"
6.34,2.163,0,9.092,11.41,9.141,6.113,4.275,9.318,6.651,1.92,"TCGA_LGG"
6.262,2.505,0,10.58,11.26,7.893,4.662,2.514,12.43,7.864,0,"TCGA_LGG"
6.249,0,0.7009,10.37,12.78,9.061,4.477,6.026,10.45,5.708,0,"TCGA_LGG"
6.195,2.943,2.507,9.842,11.21,8.991,6.38,3.194,8.766,7.324,2.667,"TCGA_LGG"
6.192,0,0.849,8.035,11.6,9.169,4.778,3.928,9.232,5.442,0.849,"TCGA_LGG"
6.155,4.215,0.8468,9.223,12.75,8.91,3.606,6.313,9.837,5.207,2.068,"TCGA_LGG"
6.136,4.379,0,7.592,11.38,8.302,7.261,6.221,10.57,6.82,1.335,"TCGA_LGG"
6.112,0.7997,1.311,9.177,11.35,8.588,3.841,2.51,10.07,5.331,2.445,"TCGA_LGG"
