"Prediccion","Referencia","Porcentaje","Modelo","Nombre"
"GTEX Brain","GTEX Brain",87.26,"Random Forest","Modelo 1"
"GTEX Brain","TCGA LGG",4.3,"Random Forest","Modelo 1"
"GTEX Brain","TCGA GM",2.02,"Random Forest","Modelo 1"
"TCGA LGG","GTEX Brain",11.78,"Random Forest","Modelo 1"
"TCGA LGG","TCGA LGG",89.89,"Random Forest","Modelo 1"
"TCGA LGG","TCGA GM",31.2,"Random Forest","Modelo 1"
"TCGA GM","GTEX Brain",0.95,"Random Forest","Modelo 1"
"TCGA GM","TCGA LGG",5.8,"Random Forest","Modelo 1"
"TCGA GM","TCGA GM",66.78,"Random Forest","Modelo 1"
"GTEX Brain","GTEX Brain",90.77,"Random Forest","Modelo 2"
"GTEX Brain","TCGA LGG",6.22,"Random Forest","Modelo 2"
"GTEX Brain","TCGA GM",1.96,"Random Forest","Modelo 2"
"TCGA LGG","GTEX Brain",8.14,"Random Forest","Modelo 2"
"TCGA LGG","TCGA LGG",84.31,"Random Forest","Modelo 2"
"TCGA LGG","TCGA GM",20.96,"Random Forest","Modelo 2"
"TCGA GM","GTEX Brain",1.09,"Random Forest","Modelo 2"
"TCGA GM","TCGA LGG",9.47,"Random Forest","Modelo 2"
"TCGA GM","TCGA GM",77.08,"Random Forest","Modelo 2"
