"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",91.43,88.6234,78.4586,87.7056,90.1064,86.9888,71.6042,85.28,"M3","QDA.1"
"Repeat02",92.0496,88.862,78.766,88.0656,90.119,87.0002,72.2818,85.3934,"M3","QDA.1"
"Repeat03",91.7858,88.719,78.763,87.9118,89.7872,86.4342,71.0338,84.781,"M3","QDA.1"
"Repeat04",91.4304,88.8616,79.068,87.9368,89.7556,86.7894,71.7112,85.0722,"M3","QDA.1"
"Repeat05",91.696,88.6716,79.6718,88.015,89.762,87.5694,73.583,85.8112,"M3","QDA.1"
"Repeat06",91.6072,88.7194,78.6134,87.8346,90.1064,87.7746,76.435,86.5274,"M3","QDA.1"
"Repeat07",91.6966,88.5756,79.3674,87.912,89.0666,88.1466,72.8876,85.808,"M3","QDA.1"
"Repeat08",91.52,88.576,78.9118,87.783,89.4174,87.3828,73.4044,85.6054,"M3","QDA.1"
"Repeat09",91.5192,89.0536,78.3102,87.9372,89.054,86.8004,72.9412,85.0808,"M3","QDA.1"
"Repeat10",91.6962,88.6704,78.617,87.8338,89.7556,87.172,71.7114,85.272,"M3","QDA.1"
"Repeat11",91.8724,88.3362,78.3176,87.6542,90.075,87.7692,76.4528,86.518,"M3","QDA.1"
"Repeat12",91.5184,88.3374,79.2172,87.7066,90.094,87.9524,72.9768,86.0158,"M3","QDA.1"
"Repeat13",91.7838,88.289,78.6124,87.6546,90.094,87.7582,72.2638,85.802,"M3","QDA.1"
"Repeat14",91.6938,88.4798,79.0644,87.808,90.0626,87.5622,71.6756,85.5812,"M3","QDA.1"
"Repeat15",91.3448,88.4792,78.0088,87.526,90.1442,86.9912,71.6934,85.292,"M3","QDA.1"
"Repeat16",91.8718,88.528,79.0658,87.8862,90.4512,86.4194,71.6934,85.0776,"M3","QDA.1"
"Repeat17",91.4322,88.48,78.4644,87.6288,89.7746,88.1482,71.0694,85.705,"M3","QDA.1"
"Repeat18",91.6068,88.814,78.7718,87.9112,90.0876,87.9468,74.1354,86.2052,"M3","QDA.1"
"Repeat19",91.3432,88.528,79.5146,87.8086,89.7366,87.1978,69.8398,84.9766,"M3","QDA.1"
"Repeat20",91.7838,88.8148,78.7652,87.9628,90.0818,86.9908,72.2638,85.38,"M3","QDA.1"
"Repeat01",58.2016,94.121,73.7902,80.1922,57.2996,91.7766,73.4222,78.6086,"M3","QDA.2"
"Repeat02",58.0328,94.2626,74.8516,80.4,57.218,92.5476,69.8754,78.389,"M3","QDA.2"
"Repeat03",59.0052,94.12,75.45,80.7088,55.2006,92.7402,67.3978,77.4782,"M3","QDA.2"
"Repeat04",58.5658,94.2154,75.744,80.6828,56.9108,93.3002,69.3408,78.6012,"M3","QDA.2"
"Repeat05",58.12,94.121,75.4612,80.4522,57.218,93.5,69.9288,78.9144,"M3","QDA.2"
"Repeat06",58.5754,94.3592,74.698,80.582,56.8546,92.7418,69.198,78.2866,"M3","QDA.2"
"Repeat07",59.2746,94.3112,74.3862,80.7092,56.1592,93.5036,69.9108,78.5972,"M3","QDA.2"
"Repeat08",58.4832,94.5024,74.3962,80.5818,53.7406,93.1208,69.2158,77.5832,"M3","QDA.2"
"Repeat09",57.9436,94.5034,74.8496,80.503,54.7806,92.923,69.929,77.883,"M3","QDA.2"
"Repeat10",58.8362,94.264,74.836,80.6322,54.7492,92.5312,67.5578,77.249,"M3","QDA.2"
"Repeat11",58.3978,94.3592,75.0034,80.5824,56.1276,92.7364,71.0518,78.3836,"M3","QDA.2"
"Repeat12",59.0978,94.0256,74.992,80.608,55.1192,93.4944,68.1816,77.9908,"M3","QDA.2"
"Repeat13",59.0144,94.2648,74.8518,80.6848,55.8458,92.9212,68.0036,77.8842,"M3","QDA.2"
"Repeat14",59.4582,94.264,75.2996,80.891,56.1276,93.4982,67.451,78.1784,"M3","QDA.2"
"Repeat15",58.3884,94.2166,75.1502,80.5298,56.9298,92.7288,68.6808,78.1944,"M3","QDA.2"
"Repeat16",58.479,94.217,74.8586,80.504,56.159,93.3076,68.6454,78.2886,"M3","QDA.2"
"Repeat17",57.94,94.456,75.1468,80.5278,55.119,93.8734,65.6684,77.774,"M3","QDA.2"
"Repeat18",59.1928,94.3114,75.909,80.9428,56.842,93.6848,68.752,78.6904,"M3","QDA.2"
"Repeat19",58.9314,94.312,75.4536,80.7888,57.5626,93.694,67.3976,78.6918,"M3","QDA.2"
"Repeat20",58.3904,94.2638,75.9,80.684,55.4698,92.7288,69.3226,77.876,"M3","QDA.2"
