"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",88.4294,86.7586,71.5334,84.6448,86.955,85.0806,69.8218,83.0216,"M2","LDA_1"
"Repeat02",88.6924,86.5202,71.3876,84.568,87.6316,84.8936,71.6754,83.4342,"M2","LDA_1"
"Repeat03",89.0472,86.7112,71.8376,84.851,87.6692,85.6706,71.6398,83.8588,"M2","LDA_1"
"Repeat04",88.6034,86.5676,72.2908,84.7216,86.936,85.2638,69.8754,83.1194,"M2","LDA_1"
"Repeat05",88.428,86.1854,71.9902,84.4136,87.995,86.0366,72.3352,84.2606,"M2","LDA_1"
"Repeat06",88.4278,86.7592,72.1382,84.7482,88.0076,85.0898,69.8216,83.3372,"M2","LDA_1"
"Repeat07",88.1624,86.4244,71.9868,84.4654,87.2932,85.6574,71.052,83.6442,"M2","LDA_1"
"Repeat08",88.3404,86.3772,71.99,84.4918,87.6504,85.4726,70.4632,83.5518,"M2","LDA_1"
"Repeat09",88.4288,86.424,71.3866,84.4392,87.6504,85.0788,72.2994,83.6388,"M2","LDA_1"
"Repeat10",88.6042,86.7116,71.8408,84.7224,87.9948,85.4672,71.1764,83.7444,"M2","LDA_1"
"Repeat11",88.4268,86.3768,71.686,84.4644,87.6,85.8572,70.41,83.7346,"M2","LDA_1"
"Repeat12",88.4278,86.616,71.8386,84.6202,87.2744,85.2692,71.729,83.5408,"M2","LDA_1"
"Repeat13",88.868,86.2334,71.686,84.5164,87.9576,85.471,69.8752,83.5384,"M2","LDA_1"
"Repeat14",88.6912,86.185,72.2886,84.542,87.2368,86.4246,71.6754,84.1506,"M2","LDA_1"
"Repeat15",88.2504,86.4242,71.9842,84.4902,88.3458,85.837,69.2336,83.735,"M2","LDA_1"
"Repeat16",88.871,86.568,72.1358,84.7738,87.2806,85.6502,69.8572,83.4258,"M2","LDA_1"
"Repeat17",88.605,86.6156,72.4392,84.7734,87.2872,85.6556,71.6578,83.742,"M2","LDA_1"
"Repeat18",88.2512,86.3762,72.445,84.542,87.97,85.0878,70.517,83.4354,"M2","LDA_1"
"Repeat19",88.9576,86.6154,71.8342,84.773,87.6376,85.271,68.6276,83.1208,"M2","LDA_1"
"Repeat20",88.6044,86.186,71.537,84.388,86.9176,86.0404,71.0872,83.7424,"M2","LDA_1"
"Repeat01",89.841,92.5902,74.6972,88.7342,88.3398,90.815,67.4508,86.1042,"M2","LDA_2"
"Repeat02",89.752,92.1604,74.698,88.4772,88.3398,90.0548,69.2514,86.0042,"M2","LDA_2"
"Repeat03",89.753,92.5902,74.2424,88.6312,88.7282,90.63,68.6098,86.3146,"M2","LDA_2"
"Repeat04",90.194,92.5418,74.093,88.7078,87.6566,90.0386,68.6988,85.6924,"M2","LDA_2"
"Repeat05",89.841,92.3526,74.1,88.5038,87.6128,90.0604,69.3406,85.8076,"M2","LDA_2"
"Repeat06",89.9284,92.5432,73.9438,88.6062,87.638,90.837,69.2338,86.2216,"M2","LDA_2"
"Repeat07",89.8412,92.3522,73.9532,88.4784,87.6504,91.0238,68.057,86.1254,"M2","LDA_2"
"Repeat08",89.752,92.4958,74.0954,88.555,87.2994,90.2564,69.2512,85.816,"M2","LDA_2"
"Repeat09",89.93,92.5906,74.9988,88.8118,86.228,90.2418,68.0748,85.2844,"M2","LDA_2"
"Repeat10",89.663,92.8298,74.8508,88.837,87.2994,90.2456,64.5276,84.9842,"M2","LDA_2"
"Repeat11",89.9274,92.543,74.5474,88.7084,86.9172,90.4434,67.9856,85.597,"M2","LDA_2"
"Repeat12",90.018,92.6864,74.1012,88.7354,87.268,90.2472,67.54,85.503,"M2","LDA_2"
"Repeat13",89.928,92.8776,75.1504,88.9916,86.8922,90.4414,71.0696,86.1104,"M2","LDA_2"
"Repeat14",89.9282,92.3996,73.3412,88.4256,87.2306,90.24,68.075,85.5838,"M2","LDA_2"
"Repeat15",90.0176,92.5906,74.5444,88.7598,87.2996,90.8134,68.0392,85.906,"M2","LDA_2"
"Repeat16",90.2828,92.5912,75.2972,88.9662,87.644,90.0588,66.845,85.3898,"M2","LDA_2"
"Repeat17",89.488,92.5902,74.8484,88.6572,87.6504,90.2436,68.0568,85.6998,"M2","LDA_2"
"Repeat18",89.6642,92.734,74.5502,88.7344,88.327,90.6318,68.1104,86.1088,"M2","LDA_2"
"Repeat19",89.839,92.4476,74.698,88.6566,87.2618,89.6776,66.2566,84.9766,"M2","LDA_2"
"Repeat20",89.9286,92.4472,73.3424,88.4512,87.9386,88.9104,70.4812,85.484,"M2","LDA_2"
