"ID1","TrainClase1","TrainClase2","TrainGlobal","TestClase1","TestClase2","TestGlobal","Modelo","Nombre"
"Repeat01",95.4282,91.607,94.316,95.0674,89.7556,93.5188,"Quadratic Discriminant Analysis","QDA 1"
"Repeat02",95.4284,91.0778,94.1616,95.5008,89.7556,93.8282,"Quadratic Discriminant Analysis","QDA 1"
"Repeat03",95.2826,91.3418,94.1352,95.21,89.3732,93.5138,"Quadratic Discriminant Analysis","QDA 1"
"Repeat04",95.4646,91.6958,94.3678,94.9232,90.1,93.5228,"Quadratic Discriminant Analysis","QDA 1"
"Repeat05",95.3916,91.5186,94.2642,95.3528,89.392,93.6172,"Quadratic Discriminant Analysis","QDA 1"
"Repeat06",95.0656,91.6076,94.0588,95.648,90.094,94.0344,"Quadratic Discriminant Analysis","QDA 1"
"Repeat07",95.3556,91.431,94.213,95.6468,89.054,93.7248,"Quadratic Discriminant Analysis","QDA 1"
"Repeat08",95.4278,91.431,94.2642,95.2142,88.6842,93.3108,"Quadratic Discriminant Analysis","QDA 1"
"Repeat09",95.428,91.4314,94.264,95.4968,89.4048,93.7222,"Quadratic Discriminant Analysis","QDA 1"
"Repeat10",95.319,91.3412,94.1612,95.5032,89.0162,93.6172,"Quadratic Discriminant Analysis","QDA 1"
"Repeat11",95.2468,91.431,94.1362,95.212,90.4448,93.8304,"Quadratic Discriminant Analysis","QDA 1"
"Repeat12",95.283,91.3416,94.1356,95.2092,89.3736,93.5144,"Quadratic Discriminant Analysis","QDA 1"
"Repeat13",95.138,91.3412,94.033,95.502,89.0288,93.6198,"Quadratic Discriminant Analysis","QDA 1"
"Repeat14",95.319,91.783,94.29,95.358,89.7242,93.7218,"Quadratic Discriminant Analysis","QDA 1"
"Repeat15",95.2104,91.2552,94.0588,95.3538,89.762,93.7242,"Quadratic Discriminant Analysis","QDA 1"
"Repeat16",95.3552,91.342,94.1868,95.0692,89.386,93.416,"Quadratic Discriminant Analysis","QDA 1"
"Repeat17",95.4282,91.254,94.213,94.9212,89.035,93.2116,"Quadratic Discriminant Analysis","QDA 1"
"Repeat18",95.3194,91.166,94.1098,94.921,90.1004,93.5144,"Quadratic Discriminant Analysis","QDA 1"
"Repeat19",95.5368,91.3424,94.3158,95.503,89.3922,93.7246,"Quadratic Discriminant Analysis","QDA 1"
"Repeat20",95.3918,91.343,94.213,95.6448,89.0476,93.724,"Quadratic Discriminant Analysis","QDA 1"
"Repeat01",90.6392,92.8442,91.281,90.2814,91.1718,90.5392,"Quadratic Discriminant Analysis","QDA 2"
"Repeat02",90.5664,93.0212,91.2808,90.5638,91.5224,90.8416,"Quadratic Discriminant Analysis","QDA 2"
"Repeat03",90.711,92.9324,91.3576,90.8556,91.867,91.1488,"Quadratic Discriminant Analysis","QDA 2"
"Repeat04",90.7114,92.6674,91.2812,90.2784,91.8546,90.7438,"Quadratic Discriminant Analysis","QDA 2"
"Repeat05",90.5298,92.5804,91.1258,90.5618,92.2244,91.042,"Quadratic Discriminant Analysis","QDA 2"
"Repeat06",90.675,92.7554,91.2806,90.422,91.4974,90.74,"Quadratic Discriminant Analysis","QDA 2"
"Repeat07",90.7114,92.9334,91.3584,90.5692,90.8208,90.6412,"Quadratic Discriminant Analysis","QDA 2"
"Repeat08",90.53,93.1982,91.3064,90.7152,91.1592,90.8406,"Quadratic Discriminant Analysis","QDA 2"
"Repeat09",90.6022,92.6672,91.2036,90.1258,91.5226,90.5324,"Quadratic Discriminant Analysis","QDA 2"
"Repeat10",90.711,93.0214,91.3834,90.421,91.8482,90.838,"Quadratic Discriminant Analysis","QDA 2"
"Repeat11",90.6388,92.313,91.1266,90.2782,91.8546,90.7418,"Quadratic Discriminant Analysis","QDA 2"
"Repeat12",90.5296,92.9308,91.2288,90.273,91.8422,90.7354,"Quadratic Discriminant Analysis","QDA 2"
"Repeat13",90.6388,92.8452,91.2812,90.2804,91.51,90.6396,"Quadratic Discriminant Analysis","QDA 2"
"Repeat14",90.4574,93.2844,91.2806,90.4242,91.4724,90.7366,"Quadratic Discriminant Analysis","QDA 2"
"Repeat15",90.7474,93.022,91.4096,90.568,92.243,91.0516,"Quadratic Discriminant Analysis","QDA 2"
"Repeat16",90.7114,93.1098,91.4096,90.1354,91.8798,90.6396,"Quadratic Discriminant Analysis","QDA 2"
"Repeat17",90.6752,93.0212,91.3582,90.568,91.159,90.7428,"Quadratic Discriminant Analysis","QDA 2"
"Repeat18",90.7114,92.933,91.3578,90.566,91.5034,90.84,"Quadratic Discriminant Analysis","QDA 2"
"Repeat19",90.8928,93.3734,91.615,90.1302,91.1654,90.4302,"Quadratic Discriminant Analysis","QDA 2"
"Repeat20",90.6392,92.5802,91.204,90.5702,91.8672,90.95,"Quadratic Discriminant Analysis","QDA 2"
