"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",91.43,88.6234,78.4586,87.7056,90.1064,86.9888,71.6042,85.28,"Quadratic Discriminant Analysis","QDA 1"
"Repeat02",92.0496,88.862,78.766,88.0656,90.119,87.0002,72.2818,85.3934,"Quadratic Discriminant Analysis","QDA 1"
"Repeat03",91.7858,88.719,78.763,87.9118,89.7872,86.4342,71.0338,84.781,"Quadratic Discriminant Analysis","QDA 1"
"Repeat04",91.4304,88.8616,79.068,87.9368,89.7556,86.7894,71.7112,85.0722,"Quadratic Discriminant Analysis","QDA 1"
"Repeat05",91.696,88.6716,79.6718,88.015,89.762,87.5694,73.583,85.8112,"Quadratic Discriminant Analysis","QDA 1"
"Repeat06",91.6072,88.7194,78.6134,87.8346,90.1064,87.7746,76.435,86.5274,"Quadratic Discriminant Analysis","QDA 1"
"Repeat07",91.6966,88.5756,79.3674,87.912,89.0666,88.1466,72.8876,85.808,"Quadratic Discriminant Analysis","QDA 1"
"Repeat08",91.52,88.576,78.9118,87.783,89.4174,87.3828,73.4044,85.6054,"Quadratic Discriminant Analysis","QDA 1"
"Repeat09",91.5192,89.0536,78.3102,87.9372,89.054,86.8004,72.9412,85.0808,"Quadratic Discriminant Analysis","QDA 1"
"Repeat10",91.6962,88.6704,78.617,87.8338,89.7556,87.172,71.7114,85.272,"Quadratic Discriminant Analysis","QDA 1"
"Repeat11",91.8724,88.3362,78.3176,87.6542,90.075,87.7692,76.4528,86.518,"Quadratic Discriminant Analysis","QDA 1"
"Repeat12",91.5184,88.3374,79.2172,87.7066,90.094,87.9524,72.9768,86.0158,"Quadratic Discriminant Analysis","QDA 1"
"Repeat13",91.7838,88.289,78.6124,87.6546,90.094,87.7582,72.2638,85.802,"Quadratic Discriminant Analysis","QDA 1"
"Repeat14",91.6938,88.4798,79.0644,87.808,90.0626,87.5622,71.6756,85.5812,"Quadratic Discriminant Analysis","QDA 1"
"Repeat15",91.3448,88.4792,78.0088,87.526,90.1442,86.9912,71.6934,85.292,"Quadratic Discriminant Analysis","QDA 1"
"Repeat16",91.8718,88.528,79.0658,87.8862,90.4512,86.4194,71.6934,85.0776,"Quadratic Discriminant Analysis","QDA 1"
"Repeat17",91.4322,88.48,78.4644,87.6288,89.7746,88.1482,71.0694,85.705,"Quadratic Discriminant Analysis","QDA 1"
"Repeat18",91.6068,88.814,78.7718,87.9112,90.0876,87.9468,74.1354,86.2052,"Quadratic Discriminant Analysis","QDA 1"
"Repeat19",91.3432,88.528,79.5146,87.8086,89.7366,87.1978,69.8398,84.9766,"Quadratic Discriminant Analysis","QDA 1"
"Repeat20",91.7838,88.8148,78.7652,87.9628,90.0818,86.9908,72.2638,85.38,"Quadratic Discriminant Analysis","QDA 1"
"Repeat01",91.873,78.585,84.0328,83.3842,90.8268,76.2894,84.2782,81.892,"Quadratic Discriminant Analysis","QDA 2"
"Repeat02",91.9616,78.6322,84.4864,83.513,91.8794,78.2088,83.1014,83.0292,"Quadratic Discriminant Analysis","QDA 2"
"Repeat03",91.9614,78.5372,84.7894,83.5132,91.1904,77.0584,81.8892,82.0004,"Quadratic Discriminant Analysis","QDA 2"
"Repeat04",92.1374,78.1534,85.5408,83.4868,91.1716,77.795,83.7434,82.6982,"Quadratic Discriminant Analysis","QDA 2"
"Repeat05",92.1386,78.6338,84.9408,83.6426,90.1254,78.0128,82.5844,82.3176,"Quadratic Discriminant Analysis","QDA 2"
"Repeat06",91.9628,78.2994,85.089,83.4374,91.1778,78.022,83.6896,82.8284,"Quadratic Discriminant Analysis","QDA 2"
"Repeat07",91.697,78.346,84.4898,83.2826,91.5414,76.6812,83.1192,82.112,"Quadratic Discriminant Analysis","QDA 2"
"Repeat08",91.5194,78.0604,85.2392,83.2056,91.178,77.0586,81.9074,82.0054,"Quadratic Discriminant Analysis","QDA 2"
"Repeat09",91.785,78.2018,84.6376,83.2556,91.5352,77.2362,82.549,82.298,"Quadratic Discriminant Analysis","QDA 2"
"Repeat10",92.1378,78.4414,84.7916,83.5132,90.4572,78.3846,83.1552,82.7054,"Quadratic Discriminant Analysis","QDA 2"
"Repeat11",91.96,78.2018,84.4882,83.2812,90.7894,76.8646,82.5312,81.8924,"Quadratic Discriminant Analysis","QDA 2"
"Repeat12",91.6948,77.8688,84.9406,83.1024,91.4976,78.3882,83.7432,83.122,"Quadratic Discriminant Analysis","QDA 2"
"Repeat13",92.049,78.3948,84.1844,83.3592,91.1404,77.2472,84.3316,82.506,"Quadratic Discriminant Analysis","QDA 2"
"Repeat14",91.8716,78.1068,84.486,83.2042,91.1342,78.2016,84.3314,83.0204,"Quadratic Discriminant Analysis","QDA 2"
"Repeat15",91.7858,78.0598,84.935,83.2312,90.4762,77.2344,83.7074,82.194,"Quadratic Discriminant Analysis","QDA 2"
"Repeat16",91.785,78.0584,84.4828,83.1524,91.159,77.8004,82.4954,82.4906,"Quadratic Discriminant Analysis","QDA 2"
"Repeat17",91.873,78.4412,84.9384,83.4616,90.8272,78.0148,82.531,82.515,"Quadratic Discriminant Analysis","QDA 2"
"Repeat18",91.7846,78.2492,84.9432,83.3328,90.802,77.2438,82.5846,82.095,"Quadratic Discriminant Analysis","QDA 2"
"Repeat19",92.0492,78.3462,84.4874,83.3844,91.1526,78.0092,83.0836,82.7076,"Quadratic Discriminant Analysis","QDA 2"
"Repeat20",92.3148,78.3464,84.942,83.5398,91.1466,77.242,83.1194,82.3002,"Quadratic Discriminant Analysis","QDA 2"
