"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",90.3722,88.9562,74.238,86.8576,88.0012,86.9984,71.6042,84.662,"M6","NN.1"
"Repeat02",89.3086,89.4358,72.879,86.5734,87.6316,88.5256,68.164,84.7756,"M6","NN.1"
"Repeat03",88.7844,90.1062,71.3648,86.5234,86.6042,87.7658,70.5168,84.4732,"M6","NN.1"
"Repeat04",88.342,91.2502,70.7722,86.9084,86.5666,89.1026,67.5402,84.6688,"M6","NN.1"
"Repeat05",89.3094,88.192,74.8636,86.2388,88.3522,86.4194,66.8806,83.6452,"M6","NN.1"
"Repeat06",88.8688,90.4862,65.6746,85.7764,88.0076,86.8204,61.3012,82.8258,"M6","NN.1"
"Repeat07",88.6944,90.8704,69.7186,86.6254,86.9236,88.5312,67.4686,84.4676,"M6","NN.1"
"Repeat08",89.8406,87.9568,69.8656,85.4164,89.7618,85.6428,70.517,84.2628,"M6","NN.1"
"Repeat09",87.6304,87.8604,77.71,86.0596,86.247,85.4542,72.3174,83.4304,"M6","NN.1"
"Repeat10",88.8712,89.4344,72.4344,86.3678,86.9172,88.5292,67.5578,84.4654,"M6","NN.1"
"Repeat11",89.129,89.818,71.6896,86.5214,88.659,87.5732,67.451,84.4588,"M6","NN.1"
"Repeat12",88.6024,90.631,68.3698,86.2402,86.9362,89.099,65.1158,84.3668,"M6","NN.1"
"Repeat13",89.308,90.155,69.2764,86.3424,86.5476,86.608,68.039,83.4338,"M6","NN.1"
"Repeat14",89.4868,88.9566,72.7398,86.342,87.9574,87.1886,66.8986,83.9486,"M6","NN.1"
"Repeat15",88.336,87.381,77.5542,85.9828,87.3184,86.4084,72.8522,84.3568,"M6","NN.1"
"Repeat16",90.373,87.8096,76.2006,86.573,89.041,85.476,72.264,84.26,"M6","NN.1"
"Repeat17",90.0172,90.296,70.9432,86.9076,88.0012,87.7566,65.6148,84.0528,"M6","NN.1"
"Repeat18",90.5454,88.5762,74.2378,86.7026,89.7494,86.9982,69.9822,84.877,"M6","NN.1"
"Repeat19",89.6654,91.2512,70.3486,87.2166,87.2556,90.2546,65.5616,85.1798,"M6","NN.1"
"Repeat20",87.46,88.4808,72.5836,85.4694,86.886,86.0404,70.5348,83.6384,"M6","NN.1"
"Repeat01",91.5204,86.2792,74.9944,85.8784,90.47,84.3168,72.2102,84.0474,"M6","NN.2"
"Repeat02",87.9052,91.2502,68.225,86.3436,87.2558,89.4874,66.2386,84.8668,"M6","NN.2"
"Repeat03",87.9018,91.6346,68.5222,86.6,85.5514,88.925,63.7966,83.656,"M6","NN.2"
"Repeat04",87.8936,90.6312,69.2628,86.187,86.2282,88.707,65.1158,83.9422,"M6","NN.2"
"Repeat05",88.7802,89.5318,72.1248,86.3422,86.9422,88.141,68.1462,84.3676,"M6","NN.2"
"Repeat06",89.4864,88.384,73.6396,86.1882,87.312,86.425,69.804,83.8514,"M6","NN.2"
"Repeat07",88.518,90.6804,69.8758,86.497,84.461,87.564,63.8326,82.618,"M6","NN.2"
"Repeat08",89.485,88.8154,74.9922,86.6512,87.6632,87.9468,71.123,84.9844,"M6","NN.2"
"Repeat09",86.571,89.149,73.7834,85.7766,85.8836,86.991,71.7648,84.0506,"M6","NN.2"
"Repeat10",87.366,89.9644,70.6368,85.9064,86.9424,87.557,68.7702,84.1546,"M6","NN.2"
"Repeat11",87.0968,90.5344,67.619,85.6214,83.7592,89.4872,62.638,83.2344,"M6","NN.2"
"Repeat12",90.543,90.5368,68.6762,86.806,88.3458,89.0896,64.4742,84.67,"M6","NN.2"
"Repeat13",91.3406,89.5324,69.7152,86.6766,89.3672,87.1942,66.2744,84.2602,"M6","NN.2"
"Repeat14",89.485,90.296,67.3114,86.135,88.6656,88.5184,65.6864,84.6602,"M6","NN.2"
"Repeat15",91.8722,89.2452,69.7198,86.6766,89.4298,87.1756,68.6452,84.669,"M6","NN.2"
"Repeat16",90.3692,88.7686,70.9252,86.1882,87.2806,86.9948,66.2566,83.5362,"M6","NN.2"
"Repeat17",89.4012,87.0452,76.5014,85.9306,87.2806,86.9982,71.6934,84.464,"M6","NN.2"
"Repeat18",90.372,90.5366,70.7746,87.114,86.1904,88.9046,66.8984,84.3496,"M6","NN.2"
"Repeat19",87.364,90.4426,72.7388,86.5222,84.8184,87.559,65.615,83.0242,"M6","NN.2"
"Repeat20",89.3114,90.5326,69.4396,86.573,87.9636,88.5366,66.827,84.6686,"M6","NN.2"
